Código Barrio;Barrio;Código Localidad;Estado
120401;LOS ARRAYANES;5;1
120402;LOS SOCHES;5;1
2529;MARICHUELA;5;1
2536;MONTE BLANCO;5;1
120405;PEPINITOS;5;1
120143;PORVENIR;5;1
2505;SAN ANDRES DE LOS ALTOS;5;1
2555;SAN JUAN BAUTISTA;5;1
1337;SAN PEDRO;5;1
2526;SANTA LIBRADA;5;1
2528;SANTA LIBRADA NORTE;5;1
2542;SERRANIAS;5;1
120206;SERRANIAS;5;1
120407;TIBAQUE SUR;5;1
120404;TOCAIMITA;5;1
120406;TOCAIMITA;5;1
120105;TUNJUELITO;5;1
120238;USMINIA;5;1
1335;VILLA DIANA;5;1
120210;VILLA ISRAEL;5;1
2548;VIRREY;5;1
120202;YOMASA;5;1
120208;YOMASA NORTE;5;1
