id,estado,nombre
1,true,"¿Se cumplió o se está cumpliendo el acuerdo
de conciliación?"
2,true,"¿El acuerdo alcanzado en la conciliación fue
llevado a proceso judicial?"
3,true,"¿Existe reincidencia del conflicto que se
acordó en el caso de conciliación?"
