id,estado,nombre,ciudad_id_id
1,true,Usaquen,575
2,true,Chapinero,575
3,true,Santa Fe,575
4,true,San Cristobal,575
5,true,Usme,575
6,true,Tunjuelito,575
7,true,Bosa,575
8,true,Kennedy,575
9,true,Fontibon,575
10,true,Engativa,575
11,true,Suba,575
12,true,Barrios Unidos,575
13,true,Teusaquillo,575
14,true,Martires,575
15,true,Antonio Nariño,575
16,true,Puente Aranda,575
17,true,Candelaria,575
18,true,Rafael Uribe,575
19,true,Ciudad Bolivar,575
20,true,Sumapaz,575
