Id;Nombre;Id_ciudad;State
1;Usaquen;149;1
2;Chapinero;149;1
3;Santa Fe;149;1
4;San Cristobal;149;1
5;Usme;149;1
6;Tunjuelito;149;1
7;Bosa;149;1
8;Kennedy;149;1
9;Fontibon;149;1
10;Engativa;149;1
11;Suba;149;1
12;Barrios Unidos;149;1
13;Teusaquillo;149;1
14;Martires;149;1
15;Antonio Nariño;149;1
16;Puente Aranda;149;1
17;Candelaria;149;1
18;Rafael Uribe;149;1
19;Ciudad Bolivar;149;1
20;Sumapaz;149;1
